Recognized character: '6', confidence: 0.716 -- 0: 0.000, 1: 0.000, 2: 0.000, 3: 0.000, 4: 0.000, 5: 0.234, 6: 0.716, 7: 0.000, 8: 0.049, 9: 0.000
Recognized character: '8', confidence: 1.000 -- 0: 0.000, 1: 0.000, 2: 0.000, 3: 0.000, 4: 0.000, 5: 0.000, 6: 0.000, 7: 0.000, 8: 1.000, 9: 0.000
Recognized character: '4', confidence: 0.850 -- 0: 0.000, 1: 0.000, 2: 0.000, 3: 0.000, 4: 0.850, 5: 0.000, 6: 0.135, 7: 0.014, 8: 0.001, 9: 0.000
Recognized character: '9', confidence: 0.999 -- 0: 0.000, 1: 0.000, 2: 0.000, 3: 0.001, 4: 0.000, 5: 0.000, 6: 0.000, 7: 0.000, 8: 0.000, 9: 0.999
Recognized character: '9', confidence: 0.525 -- 0: 0.000, 1: 0.000, 2: 0.000, 3: 0.001, 4: 0.000, 5: 0.474, 6: 0.000, 7: 0.000, 8: 0.000, 9: 0.525
Recognized character: '2', confidence: 1.000 -- 0: 0.000, 1: 0.000, 2: 1.000, 3: 0.000, 4: 0.000, 5: 0.000, 6: 0.000, 7: 0.000, 8: 0.000, 9: 0.000
Recognized character: '0', confidence: 1.000 -- 0: 1.000, 1: 0.000, 2: 0.000, 3: 0.000, 4: 0.000, 5: 0.000, 6: 0.000, 7: 0.000, 8: 0.000, 9: 0.000
Recognized character: '0', confidence: 1.000 -- 0: 1.000, 1: 0.000, 2: 0.000, 3: 0.000, 4: 0.000, 5: 0.000, 6: 0.000, 7: 0.000, 8: 0.000, 9: 0.000
Recognized character: '7', confidence: 0.968 -- 0: 0.000, 1: 0.000, 2: 0.000, 3: 0.032, 4: 0.000, 5: 0.000, 6: 0.000, 7: 0.968, 8: 0.000, 9: 0.000
Recognized character: '7', confidence: 0.988 -- 0: 0.000, 1: 0.000, 2: 0.000, 3: 0.012, 4: 0.000, 5: 0.000, 6: 0.000, 7: 0.988, 8: 0.000, 9: 0.000
